2Pl	Number=Plur|Person=2		Pron Pers	2nd Plural	მრ	Арацәа хыҧхьаӡара аҩбатәи ахаҿы	шәара		
3Pl	Number=Plur|Person=3		Pron Pers	3rd Plural	მრ	Арацәа хыҧхьаӡара ахҧатәи ахаҿы	дара, урҭ		
Pred	VERB	x	Noun, Adj,…	Predicative form			дырҵаҩуп		
Pres	Tense=Pres		V	Present	Уажә	Уажәтәи аамҭа	иҟоуп, игылоит, исыздыруам		
Fut-I	Tense=Fut		V	Future I	Иҟ-I	Иҟалаша а-I-тәи	иҟалап, игылап, сгыларым		
Fut-II	Tense=Fut2		V	Future II	Иҟ-II	Иҟалаша а-II-тәи			
Impf	Tense=Imp		V	Imperfect	უწყვ	Ииасхьоу инагӡам			
Aor	Tense=Aor		V	Aorist	Аор	Аорист (ииасхьоу инагӡоу)			
PastIndef	Tense=Past		V	Past Indefinite	უწყვ	Ииасхьоу еилкаам			
Perf	Tense=Prf		V	Perfect	I.თურმ	Ииасхьоу акрызхыҵуа			
PluPerf	Tense=Pqp		V	Pluperfect	II.თურმ	Ииасхьоу акрызхыҵуа иаҧынгылоу			
Cond-I	Tense=Cnd		V	Conditional I	I.ხოლმ	Архьыҧшратә ркьынаа	дызбарын, избарыз		
Cond-II	Tense=Cnd2		V	Conditional II	I.ხოლმ	Архьыҧшратә ркьынаа	дызбашан, избашаз		
Conj-I	Mood=Cnd		V	Conjunctive I		Ахьыҧшратә ркьынаа (-зар/-р ала)	иуҭахызар		
Conj-II	Mood=Cnd2		V	Conjunctive II	მყოფ	Акониунктивтә форма II	иҟасҵазҭгьы		
Subj	Mood=Sub		V	Subjunctive	მყოფ	Акониунктивтә форма I	даҧхьааит, снахагылааит		
Purp	Mood=Prp		V	Purposive		Ахьыҧшратә-зкратә ркьынаа (-зар ала)	-зарц		
Impv	Mood=Imp		V	Imperative	ბრძ	Адҵаратә ркьынаа			
Opt	Mood=Opt		V	Optative	II.კავშ	Агәаҧхаратә ркьынаа	#NAME?	Усутп	Уступительное наклонение
Iter	Aspect=Iter		V	Iterative			
AsIf			V	AsIf	II.კავშ	Азааигәаратә форма	иҟазҵазшәа		
InferPres	Evident=Nfh		V	Present Inferential	უწყვ	Абламбаратә форма			
InferPast	Evident=Nfh2		V	Past Inferential	უწყვ	Абламбаратә форма			
VN	VerbForm=Vnoun	VERB	Noun	Verbal Noun, Masdar	амасд	Амасдар	аҟаҵара, ацара		Масдар
#Act			V	Active	მოქმ				
StatPass	Dyn=No|Voice=Pass		V	Passive	ვნებ				
Pass	Voice=Pass		V	Passive	ვნებ				
Inv	Voice=Inv		V	Inverted	ინვერს	Аинверсивтә ҟаҵарба			
Caus	Voice=Cau		V	Causative	კაუზ	Акаузатив	иргылоит, идырбеит		
FPv			V	Free Preverb	ზმნწ				
Reln:Invol	Reln=Invol		V	Involitional	ზმნწ	Амхаҟаҵаратә форма	самхафеит		
Reln:Pot	Reln=Pot		V	Potential	ზმნწ	Амчымхаратә (потенциалис)	исыздыруам		
Reln:For	Reln=Ben		V	Relation ‘For’	ზმნწ	Аобиекттә версиа (-з-)	иазыҟеиҵеит		
Reln:With	Reln=Ins		V	Relation ‘With’	ზმნწ	(-ла-)			
Reln:TogetherWith	Reln=Com		V	Relation ‘Together with’	ზმნწ	(-ц-)			
Reln:Against	Reln=Mal		V	Relation ‘Against’	ზმნწ	Аобиекттә версиа (-цә-)			

S:1Sg	Number[subj]=Sing|Person[subj]=1		V	1st Person Singular Subject	სუბ-1მხ				
S:2SgM	Number[subj]=Sing|Person[subj]=2|Gender[subj]=Masc		V	2nd Person Singular Masculine Subject	სუბ-2				
S:2SgF	Number[subj]=Sing|Person[subj]=2|Gender[subj]=Fem		V	2nd Person Singular Feminine Subject	სუბ-2				
S:3SgM	Number[subj]=Sing|Person[subj]=3|Gender[subj]=Masc		V	3rd Person Singular Masculine Subject	სუბ-3				
S:3SgF	Number[subj]=Sing|Person[subj]=3|Gender[subj]=Fem		V	3rd Person Singular Feminine Subject	სუბ-3მრ				
S:3SgNH	Number[subj]=Sing|Person[subj]=3|Gender[subj]=Neut		V	3rd Person Singular Non-Human Subject	სუბ-3მხ				
S:3SgH	Number[subj]=Sing|Person[subj]=3|Gender[subj]=Com		V	3rd Person Singular Human Subject	სუბ-3მხ				
S:3	Person[subj]=3		V	3rd Person Subject	სუბ-3მხ				
S:1Pl	Number[subj]=Plur|Person[subj]=1		V	1st Person Plural Subject	სუბ-1მრ				
S:2Pl	Number[subj]=Plur|Person[subj]=2		V	2nd Person Plural Subject	სუბ-2მრ				
S:3Pl	Number[subj]=Plur|Person[subj]=3		V	3rd Person Plural Subject	სუბ-3მხ				
S:Rel	Person[subj]=Rel		V	Relative Subject	სუბ-3მხ	Азыҟашьатә-хьыӡцынхәратә рбага			
S:Rec	Person[subj]=Rec		V	Reciprocal Subject	სუბ-3მხ				
S:Indef			V	Indefinite Subject (кры-)	სუბ-3მხ				
S:Ad			V	Adjacent Subject	სუბ-3მხ				

DO:1Sg	Number[obj]=Sing|Person[obj]=1		V	1st Person Singular Direct Object	სუბ-1მხ				
DO:2SgM	Number[obj]=Sing|Person[obj]=2|Gender[obj]=Masc		V	2nd Person Singular Masculine Direct Object	სუბ-2				
DO:2SgF	Number[obj]=Sing|Person[obj]=2|Gender[obj]=Fem		V	2nd Person Singular Feminine Direct Object	სუბ-2				
DO:3	Person[obj]=3		V	3rd Person Direct Object	სუბ-3				
DO:3SgM	Number[obj]=Sing|Person[obj]=3|Gender[obj]=Masc		V	3rd Person Singular Masculine Direct Object	სუბ-3				
DO:3SgF	Number[obj]=Sing|Person[obj]=3|Gender[obj]=Fem		V	3rd Person Singular Feminine Direct Object	სუბ-3მრ				
